
INFO (2025-02-03 13:40:34,667): google_login | New request to create new user using google OAuth2 provider
DEBUG (2025-02-03 13:40:34,925): _new_conn | Starting new HTTPS connection (1): oauth2.googleapis.com:443
DEBUG (2025-02-03 13:40:35,154): _make_request | https://oauth2.googleapis.com:443 "POST /token HTTP/1.1" 200 None
DEBUG (2025-02-03 13:40:35,155): _new_conn | Starting new HTTPS connection (1): www.googleapis.com:443
DEBUG (2025-02-03 13:40:35,339): _make_request | https://www.googleapis.com:443 "GET /oauth2/v1/userinfo HTTP/1.1" 200 None
INFO (2025-02-03 13:40:35,348): callback | creating new User javamiya7@gmail.com does not exist
DEBUG (2025-02-03 13:40:35,349): _new_conn | Starting new HTTPS connection (1): lh3.googleusercontent.com:443
DEBUG (2025-02-03 13:40:35,743): _make_request | https://lh3.googleusercontent.com:443 "GET /a/ACg8ocIATyogdzuy3HkzMfhzfW0XkIUS-6dTgw2bjfR8-E0QYVKbh104=s96-c HTTP/1.1" 200 11085
INFO (2025-02-03 13:40:35,849): callback | login in User javamiya7@gmail.com
WARNING (2025-02-03 13:40:35,887): log_response | Not Found: /static/rest_framework/css/bootstrap.min.css
WARNING (2025-02-03 13:40:35,889): log_response | Not Found: /static/rest_framework/css/bootstrap-tweaks.css
WARNING (2025-02-03 13:40:35,891): log_response | Not Found: /static/rest_framework/css/prettify.css
WARNING (2025-02-03 13:40:35,893): log_response | Not Found: /static/rest_framework/css/default.css
WARNING (2025-02-03 13:40:35,894): log_response | Not Found: /static/rest_framework/js/jquery-3.7.1.min.js
WARNING (2025-02-03 13:40:35,896): log_response | Not Found: /static/rest_framework/js/ajax-form.js
WARNING (2025-02-03 13:40:35,898): log_response | Not Found: /static/rest_framework/js/csrf.js
WARNING (2025-02-03 13:40:35,900): log_response | Not Found: /static/rest_framework/js/bootstrap.min.js
WARNING (2025-02-03 13:40:35,904): log_response | Not Found: /static/rest_framework/js/prettify-min.js
WARNING (2025-02-03 13:40:35,907): log_response | Not Found: /static/rest_framework/js/default.js
WARNING (2025-02-03 13:40:35,909): log_response | Not Found: /static/rest_framework/js/load-ajax-form.js
WARNING (2025-02-03 13:40:36,146): log_response | Not Found: /favicon.ico
INFO (2025-02-03 13:40:47,426): login_42 | New request to create new user using 42 OAuth2 provider
DEBUG (2025-02-03 13:40:47,611): _new_conn | Starting new HTTPS connection (1): api.intra.42.fr:443
DEBUG (2025-02-03 13:40:47,800): _make_request | https://api.intra.42.fr:443 "POST /oauth/token HTTP/1.1" 200 None
DEBUG (2025-02-03 13:40:47,801): _new_conn | Starting new HTTPS connection (1): api.intra.42.fr:443
DEBUG (2025-02-03 13:40:48,483): _make_request | https://api.intra.42.fr:443 "GET /v2/me HTTP/1.1" 200 None
INFO (2025-02-03 13:40:48,493): callback | creating new User ybouchma@student.1337.ma does not exist
DEBUG (2025-02-03 13:40:48,494): _new_conn | Starting new HTTPS connection (1): cdn.intra.42.fr:443
